id,生源地,批次,科类,选科限制,院校代码,院校名称,专业代码,专业名称,专业备注,学制,学费,计划数,新增专业,录取最低分,录取最低位次,专业组最低分,专业组最低位次,专业组最低分.1,专业组最低位次.1,计划数.1,最低分,最低位次,计划数.2,最低分.1,最低位次.1,计划数.3,最低分.2,最低位次.2,所在省,城市,本科/专科,隶属单位,院校标签,类型,公私性质,院校水平,理科,工科,文科（非经管法）,经管法,医科,设计与艺术类,语言类
8065069,湖北,本科批,物理,化,A08908,复旦大学,13,工科试验班,(新工科电子信息班；智能科学与技术(智能信息与系统方向)、电子信息科学与技术、通信工程、生物医学工程、光电信息科学与工程；国家级一流本科专业建设点，电磁波信息科学教育部重点实验室、专用集成电路与系统国家重点实验室、光伏科学与技术全国重点实验室；含加拿大多伦多大学联合培养本硕项目、瑞典皇家理工学院、布鲁塞尔自由大学联合培养项目；自由分流),,7000,3.0,新增,,,680.0,300.0,684.0,240.0,,,,,,,,,,上海,上海杨浦区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,省部共建,101计划,公立大学,本科",综合,公办,"世界知名高水平大学,中国顶尖大学",,1.0,,,,,
8065070,湖北,本科批,物理,化,A08908,复旦大学,14,工科试验班,(新工科微电子班；微电子科学与工程；国家级一流本科专业建设点，教育部“双一流”建设学科),,7000,2.0,新增,,,680.0,300.0,684.0,240.0,,,,,,,,,,上海,上海杨浦区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,省部共建,101计划,公立大学,本科",综合,公办,"世界知名高水平大学,中国顶尖大学",,1.0,,,,,
8065071,湖北,本科批,物理,化,A08908,复旦大学,15,工科试验班,(新工科计算机班；计算机科学与技术、信息安全、保密技术(国家保密学院);国家级一流本科专业建设点；含澳大利亚国立大学“2+2”双学位项目，美国芝加哥大学等暑期交流项目；自由分流),,7000,2.0,新增,,,680.0,300.0,684.0,240.0,,,,,,,,,,上海,上海杨浦区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,省部共建,101计划,公立大学,本科",综合,公办,"世界知名高水平大学,中国顶尖大学",,1.0,,,,,
8065072,湖北,本科批,物理,化,A08908,复旦大学,16,工科试验班,(新工科大数据班；数据科学与大数据技术；国家级一流本科专业建设点，全国高校首个大数据学院；含普林斯顿大学、芝加哥大学、加州大学伯克利分校、墨尔本大学、新加坡国立大学、香港大学等校交流项目),,7000,2.0,新增,,,680.0,300.0,684.0,240.0,,,,,,,,,,上海,上海杨浦区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,省部共建,101计划,公立大学,本科",综合,公办,"世界知名高水平大学,中国顶尖大学",,1.0,,,,,
8065073,湖北,本科批,物理,化,A08908,复旦大学,17,软件工程,(国家示范性软件学院；国家级一流本科专业建设点；主要研究方向为大数据与数据科学、智能化软件工程与系统、计算机理论与前沿交叉、人机交互与协同计算、智能网络与系统、人工智能、网络空间安全等),,7000,2.0,,,,680.0,300.0,684.0,240.0,1.0,,,1.0,664,308,1.0,,,上海,上海杨浦区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,省部共建,101计划,公立大学,本科",综合,公办,"世界知名高水平大学,中国顶尖大学",,1.0,,,,,
8058592,湖北,本科批,物理,不限,A00104,北京大学,26,心理学类,(国家专项计划)(应用心理学、心理学),,5000,1.0,,,,679.0,332.0,676.0,547.0,1.0,—,—,1.0,657,498,1.0,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,五院四系,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,,,1.0,,,,
8066633,湖北,本科批,物理,化,A30503,北京大学医学部,03,基础医学,(本博连读；色盲色弱不予录取)(学制：八年医),,6000,2.0,,,,679.0,332.0,687.0,177.0,2.0,689,136,2.0,665,287,3.0,682,179,北京,北京海淀区,本科,教育部,"医药,985,211,双一流,国家重点,保研,研究生院,公立大学,本科",医药,公办,世界一流大学,,,,,1.0,,
8066634,湖北,本科批,物理,化,A30503,北京大学医学部,04,临床医学,(本博连读；色盲色弱不予录取)(学制：八年医),,6000,5.0,,,,679.0,332.0,687.0,177.0,5.0,690,119,5.0,671,173,5.0,683,152,北京,北京海淀区,本科,教育部,"医药,985,211,双一流,国家重点,保研,研究生院,公立大学,本科",医药,公办,世界一流大学,,,,,1.0,,
8066635,湖北,本科批,物理,化,A30503,北京大学医学部,05,临床医学,(色盲色弱不予录取)(学制：五年),,6000,2.0,,,,679.0,332.0,687.0,177.0,2.0,689,136,2.0,667,251,2.0,680,237,北京,北京海淀区,本科,教育部,"医药,985,211,双一流,国家重点,保研,研究生院,公立大学,本科",医药,公办,世界一流大学,,,,,1.0,,
8066636,湖北,本科批,物理,化,A30503,北京大学医学部,06,口腔医学,(色盲色弱不予录取)(学制：五年),,6000,1.0,,,,679.0,332.0,687.0,177.0,1.0,689,136,1.0,670,188,1.0,681,210,北京,北京海淀区,本科,教育部,"医药,985,211,双一流,国家重点,保研,研究生院,公立大学,本科",医药,公办,世界一流大学,,,,,1.0,,
8066637,湖北,本科批,物理,化,A30503,北京大学医学部,07,口腔医学,(本博连读；色盲色弱不予录取)(学制：八年医),,6000,2.0,,,,679.0,332.0,687.0,177.0,1.0,695,63,1.0,682,58,1.0,691,56,北京,北京海淀区,本科,教育部,"医药,985,211,双一流,国家重点,保研,研究生院,公立大学,本科",医药,公办,世界一流大学,,,,,1.0,,
8066638,湖北,本科批,物理,化,A30503,北京大学医学部,08,预防医学,(本硕连读；色盲色弱不予录取)(学制：七年医),,6000,1.0,,,,679.0,332.0,687.0,177.0,1.0,687,177,1.0,663,326,2.0,677,332,北京,北京海淀区,本科,教育部,"医药,985,211,双一流,国家重点,保研,研究生院,公立大学,本科",医药,公办,世界一流大学,,,,,1.0,,
8066639,湖北,本科批,物理,化,A30503,北京大学医学部,09,药学,(本硕连读；色盲色弱不予录取)(学制：六年),,6000,2.0,,,,679.0,332.0,687.0,177.0,2.0,687,177,2.0,663,326,2.0,677,332,北京,北京海淀区,本科,教育部,"医药,985,211,双一流,国家重点,保研,研究生院,公立大学,本科",医药,公办,世界一流大学,,,,,1.0,,
8066690,湖北,本科批,物理,化,A33701,复旦大学医学院,01,临床医学,(8年制，卓越医生计划；国家级一流本科专业建设点，教育部“双一流”建设学科，18家附属医院，国家临床医学研究中心，国家首个综合类国家医学中心；含哥伦比亚大学、牛津大学、悉尼大学、京都大学、科隆大学、维也纳医科大学、杜伊斯堡-埃森大学、维也纳医科大学、香港中文大学等校交流项目)(学制：八年医),,7400,3.0,,,,679.0,332.0,685.0,216.0,3.0,685,216,,,,,,,上海,上海徐汇区,本科,教育部,"医药,985,211,双一流,国家重点,保研,研究生院,公立大学,本科",医药,公办,"世界知名高水平大学,中国顶尖大学",,,,,1.0,,
